Company,Level Audition,Name,Re-Evaluation,ep2,ep4,ep6,ep9,ep12,note
Individual Trainees,B,Kana Chen Jue,D,3,3,4,6,23
Individual Trainees,B,GoGo Gou Xueying,B,34,39,34,34,42
Individual Trainees,F,Victoria Li Yichen,D,63,42,45,38,44
Individual Trainees,D,Ranee Wang Wanchen,D,100,57,52,48,58
Individual Trainees,C,Zoe Wang Xinyu,B,6,9,14,18,48
Individual Trainees,B,Hikari Xia Yan,C,67,30,15,16,28
Individual Trainees,B,Pumpkin Xu Baiyi,D,107,77,90,-,-
Individual Trainees,B,Bunny Zhang Chuhan,A,27,41,29,22,24
Individual Trainees,B,Yume Ma Shujun,A,25,36,40,44,47
Alliance Art Group,C,Ice Shen Bing,D,64,75,-,-,-
Alliance Art Group,C,Ali Shen Jie,C,82,90,99,-,-
Alliance Art Group,C,Claire Shen Qing,F,80,89,98,-,-
Alliance Art Group,C,Jade Shen Yu,F,77,83,95,-,-
AMG Asian Music Group,A,Sarah Liu Yuxin,A,23,16,11,8,6
Banana Entertainment,B,Mizuki Lin Huibo,B,96,103,103,-,-
Banana Entertainment,C,Hannah Du Ziyi,F,81,102,104,-,-
Banana Entertainment,D,Suzanne Su Qinrou,D,83,78,85,-,-
Banana Entertainment,B,Sophia Wang Shuhui,B,57,60,61,-,-
Bymoon Entertainment,C,Juicy Zuo Zhuo,D,52,48,62,50,39
Channy Dynasty,C,Joy Zhuoyi Namu,C,74,84,92,-,-
Cool Young Entertainment,A,Flora Dai Yanni,B,33,38,38,27,18
D.Wang Entertainment,A,Yvonne Wang Qing,C,69,15,16,17,31
D.Wang Entertainment,B,Jade Zhang Yu,C,59,13,12,13,17
Digital Mars Entertainment,D,Luna Qinniu Zhengwei,F,16,27,39,43,49
Digital Mars Entertainment,C,ET Yang Yutong,C,101,98,94,-,-
Encore Music,D,Heart Cheng Manxin,C,58,43,55,-,-
Feibao Media,D,Rio Wang Rui,C,76,74,87,-,-
Good@ Media,F,Hana Lin Xiaozhai,D,18,26,31,31,21
Gramarie Entertainment,C,Jessie Fu Yaning,D,37,37,43,54,52
Gramarie Entertainment,C,Gia Ge Xinyi,B,41,21,22,26,35
Gramarie Entertainment,D,Dolly Zhang Luofei,D,71,68,76,-,-
Happy Jump Culture,F,Bobo Li Xining,F,109,-,-,-,-, Left the show
Hedgehog Brothers Entertainment,B,Hamy He Meiyan,D,40,56,70,-,-
Hippo Film,D,Sunny Jin Yangyang,D,49,64,63,42,57
Hippo Film,C,Monster Sun Meinan,F,105,92,93,58,59
Hippo Film,C,Zizi Xu Zhenzhen,D,104,94,50,40,54
Hippo Film,D,Zhang Menglu,F,84,107,66,56,60
Hot Idol,C,Wang Yaoyao,F,86,106,91,-,-
Hot Idol,B,Roada Xu Ziyin,D,60,49,48,29,36
Huace Pictures,D,Esther Yu Shuxin,D,1,1,1,1,1
Huayi Brothers,D,Uah Liu Yanan,D,93,87,89,-,-
J N E R A,B,Shaking Xie Keyin,A,32,44,13,7,3
Jaywalk Newjoy,D,Poppy Liu Haihan,D,102,97,106,-,-
Jaywalk Newjoy,D,Tonkey Tang Keyi,D,92,105,97,-,-
Jaywalk Newjoy,C,Yealy Wang Yale,F,91,80,79,-,-
Jaywalk Newjoy,C,Bubble Zhu Linyu,B,62,58,47,45,34
Joinhall Media,A,Yu Yan,A,30,31,21,15,4
Ladybees Multimedia,C,Yeong Quan Xiaoying,F,85,99,105,-,-
Lehui Media,B,Jacqueline Zhang Tianxin,C,103,96,107,-,-
Lionheart Entertainment,C,Kelly Lin Weixi,B,28,47,56,-,-
Love & Peace,F,Aishah Ah Yixia,F,54,91,101,-,-
M.Nation,B,Meddhi Fu Ruqiao,C,66,71,33,23,25
M+ Entertainment,B,Yennis Huang Xinyuan,D,72,81,77,51,53
M+ Entertainment,F,Nikita Huang Yiming,F,70,93,80,-,-
M+ Entertainment,D,Yuni Xiong Yuqing,C,95,100,86,-,-
